FilenameAndPath;FileSize;FileSha512Hash;Category;Source;GroupId
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckDetail\BasicService.cs";3475;EE87603257B018EA3A56A0BB122BF9F2C52E74205E08D306A06F2ED2165CC8307282196D7E727F148A47E01C813701232882762C1612A0094FADCCE40144E2E1;Duplicate;Second;27
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\FindDupsService.cs";1998;F0D7FC9C78366708500F8CE643570464E324B496AEBB380695F590AC4C3869F6E59B9E7F64CBCA41E8C6401F2358E1F4160BDFD23951BEE25B3FDA9F5C6FA97E;Duplicate;Base;28
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\FindDupsService.cs";1998;F0D7FC9C78366708500F8CE643570464E324B496AEBB380695F590AC4C3869F6E59B9E7F64CBCA41E8C6401F2358E1F4160BDFD23951BEE25B3FDA9F5C6FA97E;Duplicate;Second;28
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\MyDupFinderProject.cs";3620;FE6C6D9CF768DA70E418B9E47DB0453A5B1C375C9E2DA74BA80CDE765564E2C1A0CC47F85C1C21A38800CC00E912F7F96BB58E528A061192D2B96B64EFBB0177;Duplicate;Base;30
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\MyDupFinderProject.cs";3620;FE6C6D9CF768DA70E418B9E47DB0453A5B1C375C9E2DA74BA80CDE765564E2C1A0CC47F85C1C21A38800CC00E912F7F96BB58E528A061192D2B96B64EFBB0177;Duplicate;Second;30
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckReportHeader.cs";942;B4E2CB2855D1D17B888AD9260B6DB46F308E88652E118BF3E85EE56CCDA016BE8C52F46360A53213133F3E4FA2C95D45E99E39E4130ECB1C24CF7738DDAAF652;Moved;Base;31
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckReportHeader1.cs";942;B4E2CB2855D1D17B888AD9260B6DB46F308E88652E118BF3E85EE56CCDA016BE8C52F46360A53213133F3E4FA2C95D45E99E39E4130ECB1C24CF7738DDAAF652;Moved;Second;31
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckCategory.cs";1119;9649E3EBAAC848453456D56135A7A5E68C9635153717168EB9B61D9C70FA55190D56B9C01476A2D58D1E1FA9E6C9B64C7755EB7BB24CEBB66FFDEB627F5DB2B5;Missing;Base;32
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\FindDupsInSameDB.cs";3369;B229C651E923E3406C25B08EE1170226C746935459DCE875A7BF2D2FEC5478A3ED5FF3B205DAD6C373CAECCA9A399EC874B21D44045071B4562004CF87FC0037;Missing;Base;33
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\IRefreshRunner.cs";167;33E2A7CDD09096AD82540E6A929E13327988DAC86CFC935A69B26158F5208663FC2DDA18034272759994E85428DDFC9BF8897E29C3A7A1CBE70B51654B7F85C5;Changed;Base;5
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\IRefreshRunner.cs";174;3F5B2F397A598810961C1D5E9FE4DDF7481D46CE5035B5CAF21920C67270FC0EC797F6BAC7194FDAF90206126E7F69CF6D004418B43FAE4654294F443CE46D4A;Changed;Second;5
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\IScanService.cs";169;91373E07BBA8BA24B1D02C332927B34E8B749FB89972DCFC317A81220E559C4041EF457B41A7D63D04E170830C3043D61E570F6C00A81F5DABB47DA92DD2AD8E;Changed;Base;18
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshDetail\IScanService.cs";170;586717B31CD843994BD2621701A07C736BE6CBBE6210CA5CCCE2DF82B5E699D78BB2ED54D8BEE593EE97A758BAFE82A69306808E69D2B5E6AC96A8557F3E1409;Changed;Second;18
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\ScanRunnerParallel.cs";6987;D0B89ED1F2E9FD1E1F15E199A4D850144B5F476C56E6A595F0347C8982208664857533CFBC37C577AB368B6B06DC72BC23BB9B56B1F8158823A613FB50B5FC7E;Changed;Base;22
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshDetail\ScanRunnerParallel.cs";6940;453D75006EA85427A66E4740644B0521B8DCBA286ADEB8CBD20134FCC2FA0B79B4A0C49A2F31C1FE56EA20310DC6292ED45BBB653793DF7F272BC2305BBF1560;Changed;Second;22
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\ScanRunnerSingleThread.cs";6963;D5AF2384323F4EECF2F1FBCB319E3F716A901588DC5C1CB330ACBBB73A0CAE54290F6AC1B42260462F6A4359C74F3C272483DD2C1C85FF61646705A0DED8F934;Changed;Base;23
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshDetail\ScanRunnerSingleThread.cs";6964;B1196BE9CEFAD97E3C915FD4ECFFFD37ADA69F26845A0CC0AF8257FE3F3949C29925754F2A180FE6E21FF71A52A6E9E71FAD8FF77972C60B686B5D4EDFA1A3E7;Changed;Second;23
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckRunner.cs";14413;E4CF977F34D7705AB3929B4249DFA8587DF6F41FBB4556763C7B15A86EF78E4ECC6DFB661842319E8E5C065D1D02CCAB0724C4EB9E2E1CA01C23284FCDE9CB54;Changed;Base;26
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckRunner.cs";14344;FA5B14781E1A0FFB4D3A00E2AD36D3435136268C1098A803D7B90B97CD00518B44C0202C8F9B756FA13E8F31EF9B5C58B045F1770C1E0BBA500C024B65662BD0;Changed;Second;26
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\ICheckRunner.cs";156;F342E3B424E8C563D55D8507B52B3AFCD25DAFAC5F937196F1D347F6BB4F83E76A0C10F67ADF37B101B0B262021669DE810C8CFADBC6D6D38F536CC120736577;Changed;Base;29
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\ICheckRunner.cs";165;3CBB16F6F41066937D0504CB476CA322160C96C6AF44B7FFD54027845EB1DCC4B952FBD2E3D88FD2C92B8AC66F8CF3A060F0DD40780F1FA8C87DBA8093835525;Changed;Second;29
